,H013-PiG:LAnkleAngles,,,H013-PiG:LElbowAngles,,,H013-PiG:LHipAngles,,,H013-PiG:LKneeAngles,,,H013-PiG:LShoulderAngles,,,H013-PiG:LThoraxAngles,,,H013-PiG:LWristAngles,,,H013-PiG:RAnkleAngles,,,H013-PiG:RElbowAngles,,,H013-PiG:RHipAngles,,,H013-PiG:RKneeAngles,,,H013-PiG:RShoulderAngles,,,H013-PiG:RSpineAngles,,,H013-PiG:RThoraxAngles,,,H013-PiG:RWristAngles,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,4.70714,8.23123,-29.7424,39.4587,-7.95E-16,-2.05E-12,67.7116,-11.9622,29.1012,67.7802,39.4655,15.5212,29.7838,19.8252,32.4006,-5.43544,5.15922,172.231,-5.90319,46.9286,111.674,-11.4691,-0.878479,-5.99433,39.5574,-3.98E-16,-1.96E-12,83.5538,-0.0907199,-7.56052,85.7689,-19.2989,-7.59652,19.111,18.2339,15.9606,9.40251,-4.53859,-4.50645,-5.43544,-5.15922,-172.231,45.8354,22.1763,40.6952
2,4.69832,8.23256,-29.746,39.4611,-1.59E-15,-1.78E-13,67.7096,-11.9674,29.1173,67.7679,39.4887,15.5148,29.7825,19.8255,32.4079,-5.43586,5.16048,172.229,-5.92836,46.9186,111.649,-11.4701,-0.876922,-5.97993,39.5635,-3.98E-15,9.83E-13,83.5547,-0.0873599,-7.55799,85.7664,-19.2994,-7.61276,19.1065,18.2367,15.9609,9.40222,-4.54027,-4.5111,-5.43586,-5.16048,-172.229,45.8147,22.1658,40.6705
3,4.69025,8.23439,-29.7509,39.4634,0,2.24E-12,67.7075,-11.9725,29.1337,67.7556,39.512,15.5099,29.7812,19.8257,32.4145,-5.43629,5.16164,172.227,-5.95125,46.9091,111.626,-11.4709,-0.875387,-5.96571,39.5693,2.39E-15,-1.01E-12,83.5556,-0.0842541,-7.5557,85.7641,-19.2998,-7.62875,19.102,18.2391,15.9607,9.40195,-4.54182,-4.51549,-5.43629,-5.16164,-172.227,45.7964,22.1545,40.6473
4,4.68291,8.2367,-29.7572,39.4656,-2.39E-15,4.74E-13,67.7052,-11.9776,29.1504,67.7434,39.5354,15.5067,29.7799,19.8258,32.4204,-5.43674,5.16269,172.225,-5.97201,46.9,111.605,-11.4716,-0.873871,-5.95168,39.5748,-7.95E-16,1.15E-12,83.5565,-0.0813993,-7.55363,85.762,-19.3002,-7.64447,19.0978,18.2412,15.96,9.40169,-4.54328,-4.51963,-5.43674,-5.16269,-172.225,45.7806,22.1424,40.6253
5,4.67632,8.23951,-29.7648,39.4677,2.39E-15,2.20E-12,67.7029,-11.9827,29.1675,67.7313,39.5589,15.5052,29.7786,19.8259,32.4255,-5.4372,5.16363,172.223,-5.99043,46.8915,111.587,-11.4721,-0.872377,-5.93785,39.5801,1.99E-15,-8.49E-13,83.5574,-0.0788003,-7.5518,85.7601,-19.3006,-7.65993,19.0937,18.243,15.9588,9.40144,-4.54461,-4.5235,-5.4372,-5.16363,-172.223,45.7672,22.1295,40.6047
6,4.67045,8.2428,-29.7736,39.4698,-1.59E-15,-1.83E-12,67.7004,-11.9877,29.1847,67.7193,39.5823,15.5053,29.7773,19.8259,32.4299,-5.43767,5.16446,172.221,-6.00676,46.8835,111.57,-11.4725,-0.870909,-5.92426,39.585,1.59E-15,1.58E-12,83.5584,-0.0764472,-7.55018,85.7585,-19.301,-7.67506,19.0897,18.2444,15.9572,9.40121,-4.54585,-4.52712,-5.43767,-5.16446,-172.221,45.7563,22.1159,40.5856
7,4.6653,8.24657,-29.7838,39.4717,-2.39E-15,1.15E-12,67.6978,-11.9927,29.2024,67.7073,39.6059,15.507,29.7761,19.8258,32.4334,-5.43817,5.1652,172.22,-6.02097,46.8759,111.556,-11.4727,-0.869471,-5.91095,39.5897,3.98E-16,-1.71E-12,83.5595,-0.074338,-7.54881,85.7571,-19.3014,-7.68983,19.0859,18.2456,15.955,9.401,-4.54696,-4.53048,-5.43817,-5.1652,-172.22,45.7477,22.1013,40.5677
8,4.66084,8.25081,-29.7953,39.4735,-3.18E-15,-1.49E-12,67.6951,-11.9977,29.2203,67.6954,39.6296,15.5102,29.7748,19.8256,32.4363,-5.43868,5.16583,172.219,-6.03295,46.8689,111.544,-11.4728,-0.868068,-5.89796,39.594,0,1.69E-13,83.5606,-0.072469,-7.54765,85.756,-19.3018,-7.70416,19.0823,18.2464,15.9524,9.40078,-4.54798,-4.5336,-5.43868,-5.16583,-172.219,45.7416,22.086,40.5512
